,B,G,R
0,39.0,57.25,95.25
1,104.25,112.75,182.0
2,126.25,100.0,80.25
3,37.5,82.25,73.25
4,133.25,105.5,131.25
5,145.75,157.25,90.25
6,5.0,96.5,184.5
7,139.25,71.25,56.0
8,64.25,59.25,183.5
9,68.0,41.25,82.0
10,53.5,155.0,136.25
11,0.25,128.0,181.25
12,115.5,48.75,22.0
13,61.75,122.5,59.25
14,38.75,34.75,172.5
15,20.25,159.25,194.75
16,122.75,78.0,176.5
17,144.5,103.5,28.75
18,204.0,211.25,218.5
19,168.5,173.5,183.25
20,132.5,137.75,142.5
21,94.75,99.25,102.25
22,57.0,62.75,70.0
23,22.25,24.0,22.5
