B;G;R
29.1111;34.7778;46.4444
67.5556;73.1111;118.333
71.7778;60.1111;50
25.6667;48.1111;43.1111
110.333;77.1111;91.1111
111.778;125.667;66.4444
7.44444;71;149.333
102.889;49;38.4444
44.7778;39.3333;146.222
41.5556;28.4444;54.7778
29.6667;122.667;103.111
1.11111;96.5556;148.333
78;33.5556;15.4444
42.1111;85.7778;41.2222
30.3333;23.2222;134.667
2.77778;127.556;162.556
85;45;153.222
115.889;75.6667;21
163.889;172.444;182.778
133.444;138.222;146.889
99.3333;107;111.111
63;68.6667;70.4444
33;37.2222;36.3333
12.7778;14.5556;14.4444
