B;G;R
34.8889;47.8889;66.7778
100.778;103;147
110.556;83.3333;49.8889
31.5556;63.3333;47.1111
131.111;90.6667;88.5556
135.222;141.667;60.4444
8.33333;84.6667;152
123.778;58.7778;34
54.3333;52.6667;147.333
55.8889;35.6667;57.2222
42;136.222;102.222
2.77778;113.111;149.667
98.2222;39.7778;12.4444
57.7778;104.333;42.6667
34.2222;29.4444;135.667
10.4444;147.222;163.778
104.667;57.6667;156.111
137;91.6667;18.5556
190.444;193;188.333
156.667;158.111;151.556
121.667;123.667;117.111
80.4444;84;75.4444
46.5556;49;43.5556
19.6667;20.1111;17
